name,type,address,latitude,longitude,hours,website,phone,source,maps_link
4th Avenue History Park,Park,"1700 4th Avenue North, Birmingham, AL, 35203",33.5154737,-86.8117196,,,,https://www.openstreetmap.org/way/778647792,https://www.google.com/maps/search/?api=1&query=4th%20Avenue%20History%20Park%2033.5154737%2C-86.8117196
A.G. Gaston Park,Park,"916 Washington Avenue Southwest, Birmingham, AL, 35211",33.5011648,-86.8527019,,,,https://www.openstreetmap.org/way/699487484,https://www.google.com/maps/search/?api=1&query=A.G.%20Gaston%20Park%2033.5011648%2C-86.8527019
Adamsville Park,Park,,33.5981612,-86.9580504,,,,https://www.openstreetmap.org/node/358973510,https://www.google.com/maps/search/?api=1&query=Adamsville%20Park%2033.5981612%2C-86.9580504
Alabama Veterans Memorial Park,Park,,33.4947135,-86.706879,,,,https://www.openstreetmap.org/way/803474225,https://www.google.com/maps/search/?api=1&query=Alabama%20Veterans%20Memorial%20Park%2033.4947135%2C-86.706879
Alabama Wilds,Park,,33.4863122,-86.7814754,,,,https://www.openstreetmap.org/way/231106590,https://www.google.com/maps/search/?api=1&query=Alabama%20Wilds%2033.4863122%2C-86.7814754
Alma P. Dennis Park,Park,"1801 Avenue Z, Birmingham, AL, 35208",33.5109103,-86.8742156,,,,https://www.openstreetmap.org/way/966088728,https://www.google.com/maps/search/?api=1&query=Alma%20P.%20Dennis%20Park%2033.5109103%2C-86.8742156
Altadena Park,Park,,33.4262938,-86.7349089,,,,https://www.openstreetmap.org/way/824652112,https://www.google.com/maps/search/?api=1&query=Altadena%20Park%2033.4262938%2C-86.7349089
Altadena Valley Park,Park,,33.4160753,-86.7470504,,,,https://www.openstreetmap.org/way/1078096910,https://www.google.com/maps/search/?api=1&query=Altadena%20Valley%20Park%2033.4160753%2C-86.7470504
Altamont Park,Park,"4100 Altamont Road, Birmingham, AL, 35210",33.5099349,-86.7657165,,,,https://www.openstreetmap.org/way/778651738,https://www.google.com/maps/search/?api=1&query=Altamont%20Park%2033.5099349%2C-86.7657165
Arlington Antebellum Home and Gardens,Park,,33.500093,-86.8387123,,https://www.arlingtonantebellumhomeandgardens.com/,,https://www.openstreetmap.org/way/930244120,https://www.google.com/maps/search/?api=1&query=Arlington%20Antebellum%20Home%20and%20Gardens%2033.500093%2C-86.8387123
Arthur Shores Park,Park,"1221 19th Street North, Birmingham, AL, 35203",33.5273525,-86.8157576,,,,https://www.openstreetmap.org/way/129478009,https://www.google.com/maps/search/?api=1&query=Arthur%20Shores%20Park%2033.5273525%2C-86.8157576
