name,address,latitude,longitude,hours,website,phone,cuisine,source,maps_link
Abhi,"Abhi, Summit Place, Bell Summit Apartments, Birmingham, Jefferson County, Alabama, 35243, United States",33.4501044,-86.7308183,,,,asian,https://www.openstreetmap.org/node/5891905003,https://www.google.com/maps/search/?api=1&query=Abhi%2033.4501044%2C-86.7308183
Abhi Eatery and Bar,"2721 Cahaba Rd, Mountain Brook, AL 35223",,,,https://abhieateryandbar.com,(205) 870-1600*,Asian Fusion / Sushi,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Abhi%20Eatery%20and%20Bar%202721%20Cahaba%20Rd%2C%20Mountain%20Brook%2C%20AL%2035223
Acapulco Grill,"430 Green Springs Hwy, Homewood, AL 35209*",33.4630518,-86.8205155,,(search: “Acapulco Bar & Grill Green Springs”),(205) 942-0221*,Mexican,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Acapulco%20Grill%20430%20Green%20Springs%20Hwy%2C%20Homewood%2C%20AL%2035209*
Ahki’s,"121 20th St N, Birmingham, AL 35203",,,,https://www.ahkismenu.com,(205) 518-0035,Mediterranean / Street Food,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Ahki%E2%80%99s%20121%2020th%20St%20N%2C%20Birmingham%2C%20AL%2035203
Al's Deli & Grill,"1629 10th Ave S, Birmingham, AL 35205",,,,,(205) 939-9950,Mediterranean / Diner,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Al's%20Deli%20%26%20Grill%201629%2010th%20Ave%20S%2C%20Birmingham%2C%20AL%2035205
Al's Deli and Grill,"University of Alabama at Birmingham, 1720, University Boulevard, Five Points South, Birmingham, Jefferson County, Alabama, 35294, United States",33.4995868,-86.8014289,24/7,http://alsdeliandgrill.net/,-5421,mediterranean;american,https://www.openstreetmap.org/way/629109105,https://www.google.com/maps/search/?api=1&query=Al's%20Deli%20and%20Grill%2033.4995868%2C-86.8014289
Alabama Biscuit Company,"Cahaba Heights, Birmingham, AL 35243",,,,https://www.alabamabiscuit.com,,Breakfast/Brunch,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Alabama%20Biscuit%20Company%20Cahaba%20Heights%2C%20Birmingham%2C%20AL%2035243
American Ranch House,"1600 Pinson Valley Parkway, Birmingham, AL, 35217",33.5840549,-86.7739674,Mo-Sa 10:00-23:00; Su 10:00-21:00,https://www.americanranchhouse.biz/,-8844,american,https://www.openstreetmap.org/way/124672349,https://www.google.com/maps/search/?api=1&query=American%20Ranch%20House%2033.5840549%2C-86.7739674
Amore Ristorante Italiano,"5510 Hwy 280 Ste 116, Birmingham, AL 35242",,,,https://letsamore.com/,(205) 437-1005,Italian,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Amore%20Ristorante%20Italiano%205510%20Hwy%20280%20Ste%20116%2C%20Birmingham%2C%20AL%2035242
Ampersandwich,"4124 3rd Ave S, Birmingham, AL 35222",,,,https://eatampersandwich.com,(205) 202-2024,Sandwiches,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Ampersandwich%204124%203rd%20Ave%20S%2C%20Birmingham%2C%20AL%2035222
Applebee's,"2246 Bessemer Road, Birmingham, AL, 35208",33.4976872,-86.8771924,"Su-Th 11:00-22:00; Fr, Sa 11:00-23:00",https://restaurants.applebees.com/en-us/al/birmingham/2246-bessemer-road-75096,-1686,american,https://www.openstreetmap.org/node/7594409507,https://www.google.com/maps/search/?api=1&query=Applebee's%2033.4976872%2C-86.8771924
Archie's Bar-B-Q & Burgers,"1017 6th Ave N, Birmingham, AL 35203",,,,https://archiesbbqandburgers.com,,Barbecue/Burgers,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Archie's%20Bar-B-Q%20%26%20Burgers%201017%206th%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
Area 41 Pizza,"Area 41 Pizza, Hawthorn Street, Mt. Laurel, Shelby County, Alabama, 35242, United States",33.4073794,-86.6302287,,,,pizza,https://www.openstreetmap.org/node/7784313878,https://www.google.com/maps/search/?api=1&query=Area%2041%20Pizza%2033.4073794%2C-86.6302287
Automatic Seafood and Oysters,"2824 5th Ave S, Birmingham, AL 35233",,,,automaticseafood.com,,Seafood,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Automatic%20Seafood%20and%20Oysters%202824%205th%20Ave%20S%2C%20Birmingham%2C%20AL%2035233
Avondale Common House,"Avondale Common House, 2nd Alley South, Avondale, Birmingham, Jefferson County, Alabama, 35222, United States",33.5241204,-86.773791,,https://avondalecommonhouse.com/,,,https://www.openstreetmap.org/way/625674458,https://www.google.com/maps/search/?api=1&query=Avondale%20Common%20House%2033.5241204%2C-86.773791
Aww Shucks,"4120 Messer Airport Alley, Birmingham, AL, 35222",33.5295719,-86.7759283,We-Sa 11:00-17:00,,,maiz;mexican,https://www.openstreetmap.org/node/13312499299,https://www.google.com/maps/search/?api=1&query=Aww%20Shucks%2033.5295719%2C-86.7759283
Bama Hotdogs,"1613 Pinson Valley Parkway, Birmingham, AL, 35217",33.5840887,-86.7722954,Mo-Sa 05:00-14:00,https://www.bamahotdogs.com/,-3297,hot_dog;burger,https://www.openstreetmap.org/node/11813095071,https://www.google.com/maps/search/?api=1&query=Bama%20Hotdogs%2033.5840887%2C-86.7722954
Bamboo on 2nd,"2212 2nd Ave N, Birmingham, AL 35203",,,,https://bambooon2nd.com,205-703-0551,Asian Fusion / Noodles,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Bamboo%20on%202nd%202212%202nd%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
Bar La Fete,"2018 Morris Ave, Birmingham, AL 35203",,,,https://www.lafetebham.com,(205) 703-3012,French / Wine Bar,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Bar%20La%20Fete%202018%20Morris%20Ave%2C%20Birmingham%2C%20AL%2035203
Basil Pizza & Bar,"1101 Dunston Avenue, Birmingham, AL, 35213",33.5145323,-86.7365745,Mo-Su 11:00-21:00,thaibasilandsushi.com,,pizza;burger;italian,https://www.openstreetmap.org/node/7993535276,https://www.google.com/maps/search/?api=1&query=Basil%20Pizza%20%26%20Bar%2033.5145323%2C-86.7365745
Bawarchi Indian Cuisine,"2798 John Hawkins Pkwy Ste 108, Hoover, AL 35244",33.3635108,-86.8228991,,https://bawarchibirmingham.com/,,indian,https://www.openstreetmap.org/node/11076262505,https://www.google.com/maps/search/?api=1&query=Bawarchi%20Indian%20Cuisine%2033.3635108%2C-86.8228991
Bay Leaf Modern Indian Cuisine & Bar,"1024 20th St S Unit 101, Birmingham, AL 35205",,,,https://www.bayleafbham.com,(205) 777-3070,Indian,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Bay%20Leaf%20Modern%20Indian%20Cuisine%20%26%20Bar%201024%2020th%20St%20S%20Unit%20101%2C%20Birmingham%2C%20AL%2035205
Bettola,"2930 3rd Ave S, Birmingham, AL 35233",33.5166461,-86.7901593,,https://www.bettolabhm.com,(205) 731-6499,Italian / Pizza,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Bettola%202930%203rd%20Ave%20S%2C%20Birmingham%2C%20AL%2035233
Big Spoon Creamery,"4000 3rd Ave S #104, Birmingham, AL 35222",,,,https://www.bigspooncreamery.com,205-703-4712,Ice Cream / Dessert,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Big%20Spoon%20Creamery%204000%203rd%20Ave%20S%20%23104%2C%20Birmingham%2C%20AL%2035222
Billy's Sports Grill,"Billy's Sports Grill, Overton Road, Cherry Brook Estates, Overton, Birmingham, Jefferson County, Alabama, 35210, United States",33.4923761,-86.7036317,,,,,https://www.openstreetmap.org/node/6855319249,https://www.google.com/maps/search/?api=1&query=Billy's%20Sports%20Grill%2033.4923761%2C-86.7036317
Birmingham Wings & Waffles,"3813 3rd Ave S, Birmingham, AL 35222",,,,,,Soul Food / Breakfast,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Birmingham%20Wings%20%26%20Waffles%203813%203rd%20Ave%20S%2C%20Birmingham%2C%20AL%2035222
Bistro 218,"218 20th St N, Birmingham, AL 35203",,,,https://www.bistro218.com,(205) 983-7999,French / New American,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Bistro%20218%20218%2020th%20St%20N%2C%20Birmingham%2C%20AL%2035203
Bistro V,"521 Montgomery Hwy, Vestavia Hills, AL 35216",,,,https://bistro-v.com,,Southern/Bistro,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Bistro%20V%20521%20Montgomery%20Hwy%2C%20Vestavia%20Hills%2C%20AL%2035216
Black Market Bar & Grill,"3411 Colonnade Pkwy, #800, Birmingham, AL, 35243",33.4382408,-86.7292643,,https://evilbartenders.com/,+1 205-967-8787,American / Bar,https://www.openstreetmap.org/node/9717699063,https://www.google.com/maps/search/?api=1&query=Black%20Market%20Bar%20%26%20Grill%2033.4382408%2C-86.7292643
Blue Pacific,"3219 Lorna Rd, Birmingham, AL 35216",,,,,(205) 978-0754,Thai,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Blue%20Pacific%203219%20Lorna%20Rd%2C%20Birmingham%2C%20AL%2035216
Blue Pacific at Hoover Food Market,"Blue Pacific at Hoover Food Market, Lorna Road, Forest Ridge Estates, Patton Chapel, Hoover, Jefferson County, Alabama, 35216, United States",33.3968981,-86.8004194,,,,thai,https://www.openstreetmap.org/way/825530616,https://www.google.com/maps/search/?api=1&query=Blue%20Pacific%20at%20Hoover%20Food%20Market%2033.3968981%2C-86.8004194
Blueprint on 3rd,"3000 3rd Ave S, Birmingham, AL 35233",,,,blueprinton3rd.com,,Southern / American,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Blueprint%20on%203rd%203000%203rd%20Ave%20S%2C%20Birmingham%2C%20AL%2035233
